Id,SalePrice
2658,171325.861790892
2718,133596.759139826
2414,222873.50436936994
1989,129648.60487485115
625,177248.09318835428
333,84023.19369383543
1327,84023.19369383543
858,127674.52774236372
95,222873.50436936994
1568,175274.01605586684
2482,177248.09318835428
1364,173299.9389233794
2584,177248.09318835428
818,222873.50436936994
2673,173299.9389233794
2089,129648.60487485115
1297,175274.01605586684
790,131622.68200733856
2616,175274.01605586684
720,260602.60702043597
222,125700.45060987628
557,129648.60487485115
1148,177248.09318835428
2766,177248.09318835428
534,220899.42723688256
1452,127674.52774236372
630,87971.34795881031
2648,129648.60487485115
125,173299.9389233794
1904,40371.859645307166
1670,84023.19369383543
756,85997.27082632287
717,218925.35010439513
1032,129648.60487485115
852,222873.50436936994
1731,222873.50436936994
2639,84023.19369383543
2071,82049.11656134803
1267,127674.52774236372
1851,222873.50436936994
567,177248.09318835428
2439,222873.50436936994
1898,129648.60487485115
647,127674.52774236372
2256,220899.42723688256
979,84023.19369383543
1444,222873.50436936994
2485,131622.68200733856
157,127674.52774236372
88,131622.68200733856
2003,131622.68200733856
186,260602.60702043597
1425,268498.91555038566
2695,129648.60487485115
738,131622.68200733856
395,171325.861790892
1353,220899.42723688256
1878,131622.68200733856
390,222873.50436936994
1456,222873.50436936994
1103,268498.91555038566
1387,133596.759139826
2070,129648.60487485115
1199,220899.42723688256
2479,177248.09318835428
501,268498.91555038566
2362,87971.34795881031
1718,177248.09318835428
2188,38397.782512819744
1483,177248.09318835428
2557,85997.27082632287
437,268498.91555038566
2224,179222.17032084172
1628,222873.50436936994
397,127674.52774236372
587,177248.09318835428
2182,359749.73791241704
971,133596.759139826
2611,177248.09318835428
1887,127674.52774236372
2399,314124.3267314014
2148,222873.50436936994
304,177248.09318835428
1997,127674.52774236372
2817,84023.19369383543
1431,177248.09318835428
427,268498.91555038566
263,129648.60487485115
598,177248.09318835428
2895,266524.8384178982
687,173299.9389233794
1822,127674.52774236372
2191,82049.11656134803
179,173299.9389233794
1009,268498.91555038566
2010,127674.52774236372
1991,175274.01605586684
1411,129648.60487485115
1721,268498.91555038566
1144,177248.09318835428
593,266524.8384178982
575,260602.60702043597
1249,177248.09318835428
1604,131622.68200733856
1064,359749.73791241704
1923,175274.01605586684
1988,123726.37347738887
2325,177248.09318835428
114,177248.09318835428
2700,177248.09318835428
217,89945.42509129771
343,177248.09318835428
386,268498.91555038566
2005,82049.11656134803
2908,131622.68200733856
1814,222873.50436936994
2446,359749.73791241704
208,123726.37347738887
1679,131622.68200733856
822,314124.3267314014
6,175274.01605586684
1781,359749.73791241704
2397,268498.91555038566
2340,314124.3267314014
1618,175274.01605586684
2843,85997.27082632287
1061,314124.3267314014
2786,127674.52774236372
1935,127674.52774236372
1341,127674.52774236372
521,314124.3267314014
2136,131622.68200733856
